N,Должность,Язык.программирования,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Еще.студент,Уровень.английского,Дата.заполнения,User.Agent,exp,current_job_exp,salary,avg
140,Software Engineer,C#/.NET,2,2,1950,1150,Харьков,до 1000 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,True,средний,12/06/2017 13:18:49,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,2.0,1950,
141,Senior Software Engineer,PHP,1,1,4000,500,Киев,до 10 человек,Стартап,мужской,28,Высшее,False,средний,12/06/2017 13:18:58,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,4000,
144,Junior Software Engineer,Python,1,1,750,250,Киев,до 10 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,True,выше среднего,12/06/2017 13:19:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,750,
146,Senior Software Engineer,Java,9,меньше 3 месяцев,4100,700,Львов,до 1000 человек,Аутсорсинговая,мужской,31,Высшее,False,выше среднего,12/06/2017 13:19:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",9.0,0.0,4100,
148,Software Engineer,Scala,6,3,2500,0,Львов,до 50 человек,Аутсорсинговая,мужской,28,Высшее,False,средний,12/06/2017 13:19:50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",6.0,3.0,2500,
149,Senior Software Engineer,C++,4,меньше 3 месяцев,2400,600,Харьков,до 200 человек,Аутсорсинговая,мужской,29,Высшее,False,средний,12/06/2017 13:19:53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,2400,
152,Junior Software Engineer,JavaScript,1.5,0.5,400,200,Киев,до 200 человек,Продуктовая,мужской,27,Высшее,False,ниже среднего,12/06/2017 13:20:02,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,400,
154,Software Engineer,Python,2,1,1200,0,Днепр,до 50 человек,Аутстаффинговая,мужской,34,Кандидат,False,продвинутый,12/06/2017 13:20:15,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",2.0,1.0,1200,
155,Software Engineer,C#/.NET,4,4,1200,300,Харьков,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,False,средний,12/06/2017 13:20:16,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,4.0,1200,
157,Software Engineer,Ruby/Rails,5,2,2300,300,Киев,до 50 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,12/06/2017 13:20:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,2.0,2300,
158,Junior Software Engineer,Java,0.25,0.25,700,0,Киев,до 50 человек,Аутсорсинговая,мужской,21,Техникум / Колледж,False,выше среднего,12/06/2017 13:20:24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",0.25,0.25,700,
160,Software Engineer,Ruby/Rails,1,0.25,1200,900,Львов,до 200 человек,Продуктовая,мужской,23,Среднее,False,ниже среднего,12/06/2017 13:20:28,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,4;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/3;FBCR/lifecell;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",1.0,0.25,1200,
161,Senior Software Engineer,C#/.NET,10 и более лет,3,3550,200,Киев,до 200 человек,Аутстаффинговая,женский,29,Высшее,False,выше среднего,12/06/2017 13:20:49,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,3.0,3550,
162,Software Engineer,Java,1.5,1.5,1000,0,Одесса,до 50 человек,Продуктовая,мужской,27,Высшее,False,выше среднего,12/06/2017 13:21:05,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1000,
163,Junior Software Engineer,Python,0.5,0.5,500,0,Винница,до 200 человек,Аутсорсинговая,мужской,20,Техникум / Колледж,True,ниже среднего,12/06/2017 13:21:08,"Mozilla/5.0 (Linux; Android 7.1.2; LG-D802 Build/N2G47E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,500,
164,Software Engineer,C#/.NET,5,2,2600,500,Харьков,до 200 человек,Продуктовая,женский,27,Высшее,False,средний,12/06/2017 13:21:22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,2.0,2600,
165,Junior Software Engineer,Java,1,1,470,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,32,Высшее,False,выше среднего,12/06/2017 13:21:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,470,
167,Software Engineer,PHP,3,2,600,200,Николаев,до 50 человек,Аутсорсинговая,мужской,37,Техникум / Колледж,False,элементарный,12/06/2017 13:21:40,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,600,
168,Software Engineer,PHP,5,меньше 3 месяцев,2500,500,Днепр,до 1000 человек,Продуктовая,мужской,27,Высшее,False,средний,12/06/2017 13:21:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,0.0,2500,
170,Junior Software Engineer,C#/.NET,1,1,570,0,Киев,свыше 1000 человек,Аутсорсинговая,женский,29,Незаконченное высшее,False,средний,12/06/2017 13:22:11,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,570,
171,Software Engineer,Java,3,1.5,2200,500,Киев,до 50 человек,Продуктовая,мужской,26,Высшее,False,средний,12/06/2017 13:22:19,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",3.0,1.5,2200,
172,Junior Software Engineer,Python,0.25,0.25,800,0,Киев,до 50 человек,Продуктовая,мужской,25,Высшее,False,продвинутый,12/06/2017 13:22:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,800,
175,Senior Software Engineer,1С,10 и более лет,3,1300,115,Киев,до 200 человек,Продуктовая,мужской,42,Два высших,False,продвинутый,12/06/2017 13:23:04,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,3.0,1300,
179,Software Engineer,Java,3,0.5,1500,750,Одесса,до 50 человек,Аутсорсинговая,мужской,24,Высшее,False,средний,12/06/2017 13:24:24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,1500,
180,Software Engineer,Java,4,4,2000,200,Киев,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,False,средний,12/06/2017 13:24:25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,4.0,2000,
181,Junior Software Engineer,Java,1.5,1.5,600,100,Одесса,до 1000 человек,Продуктовая,мужской,23,Высшее,True,средний,12/06/2017 13:24:33,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1.5,1.5,600,
182,Software Engineer,Swift,2,1.5,1400,600,Ивано-Франковск,свыше 1000 человек,Аутстаффинговая,мужской,28,Высшее,False,средний,12/06/2017 13:24:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0.1 Safari/602.2.14",2.0,1.5,1400,
184,Software Engineer,C++,4,0.5,2000,500,Киев,до 200 человек,Аутсорсинговая,мужской,24,Высшее,False,средний,12/06/2017 13:24:45,"Mozilla/5.0 (Linux; Android 4.4.4; M351 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,0.5,2000,
186,Senior Software Engineer,C++,10 и более лет,0.25,2600,0,Киев,до 50 человек,Аутсорсинговая,мужской,39,Высшее,False,выше среднего,12/06/2017 13:25:05,Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0,10.0,0.25,2600,
187,Senior Software Engineer,C#/.NET,6,6,2500,400,Львов,до 10 человек,Аутсорсинговая,мужской,28,Высшее,False,выше среднего,12/06/2017 13:25:05,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,6.0,2500,
189,Software Engineer,C++,4,0.5,1800,300,Днепр,до 1000 человек,Аутсорсинговая,мужской,36,Высшее,False,средний,12/06/2017 13:25:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.5,1800,
191,Software Engineer,PHP,5,2,1300,300,Сумы,до 200 человек,Аутсорсинговая,мужской,29,Высшее,False,ниже среднего,12/06/2017 13:25:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,2.0,1300,
192,Software Engineer,Java,2,0.5,1550,1000,Николаев,до 200 человек,Продуктовая,мужской,21,Незаконченное высшее,True,продвинутый,12/06/2017 13:26:24,"Mozilla/5.0 (Linux; Android 7.0; Moto G (4) Build/NPJS25.93-14-4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,0.5,1550,
194,Software Engineer,PHP,3,1.5,2300,800,Киев,до 10 человек,Продуктовая,мужской,23,Высшее,False,средний,12/06/2017 13:26:48,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",3.0,1.5,2300,
195,Software Engineer,JavaScript,2,1,1000,600,Одесса,до 50 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,False,средний,12/06/2017 13:27:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,1.0,1000,
196,Senior Software Engineer,Ruby/Rails,6,4,3800,760,Киев,до 50 человек,Продуктовая,мужской,24,Высшее,False,выше среднего,12/06/2017 13:27:27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",6.0,4.0,3800,
197,Junior Software Engineer,PHP,1,0.5,250,250,Киев,до 10 человек,Продуктовая,мужской,25,Высшее,False,продвинутый,12/06/2017 13:27:27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,250,
199,Software Engineer,Java,6,0.5,3000,-1000,Киев,до 1000 человек,Продуктовая,мужской,28,Незаконченное высшее,False,выше среднего,12/06/2017 13:28:38,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",6.0,0.5,3000,
200,Senior Software Engineer,C,8,0.25,3500,0,Киев,до 50 человек,Продуктовая,мужской,30,Высшее,False,выше среднего,12/06/2017 13:28:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",8.0,0.25,3500,
201,Junior Software Engineer,Java,0.5,0.5,1150,400,Удаленно,до 10 человек,Продуктовая,мужской,21,Высшее,True,ниже среднего,12/06/2017 13:29:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,1150,
202,Software Engineer,JavaScript,3,4,2000,200,Харьков,до 200 человек,Аутсорсинговая,мужской,24,Высшее,False,средний,12/06/2017 13:29:11,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,4.0,2000,
203,Senior Software Engineer,JavaScript,10 и более лет,2,3500,0,Харьков,до 1000 человек,Продуктовая,мужской,32,Высшее,False,продвинутый,12/06/2017 13:29:15,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,2.0,3500,
205,Software Engineer,PHP,7,3,2000,1000,Киев,до 10 человек,Продуктовая,мужской,29,Техникум / Колледж,False,ниже среднего,12/06/2017 13:29:33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",7.0,3.0,2000,
206,Senior Software Engineer,Java,10 и более лет,0.25,5000,1950,Киев,до 10 человек,Продуктовая,мужской,34,Два высших,False,продвинутый,12/06/2017 13:29:36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.25,5000,
207,Senior Software Engineer,C#/.NET,6,1.5,3700,200,Харьков,до 1000 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,12/06/2017 13:29:47,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.5,3700,
208,Senior Software Engineer,Java,10 и более лет,7,3100,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,31,Высшее,False,выше среднего,12/06/2017 13:29:52,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,7.0,3100,
210,Software Engineer,Objective-C,5,3,3500,500,Киев,до 200 человек,Продуктовая,мужской,26,Высшее,False,средний,12/06/2017 13:29:55,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,2;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/3;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",5.0,3.0,3500,
212,Software Engineer,C#/.NET,4,0.5,2100,200,Киев,свыше 1000 человек,Аутсорсинговая,мужской,36,Высшее,False,средний,12/06/2017 13:30:19,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 6P Build/N2G47W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,0.5,2100,
213,Software Engineer,C#/.NET,8,0.5,500,0,Луцк,до 200 человек,Аутсорсинговая,мужской,36,Высшее,False,средний,12/06/2017 13:30:27,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,0.5,500,
216,Software Engineer,Java,3,меньше 3 месяцев,2700,1200,Киев,до 200 человек,Аутстаффинговая,мужской,25,Высшее,False,выше среднего,12/06/2017 13:31:38,"Mozilla/5.0 (Linux; Android 6.0; PRO 6 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,0.0,2700,
218,Software Engineer,Python,8,2,2900,150,Львов,до 1000 человек,Аутсорсинговая,мужской,26,Высшее,False,выше среднего,12/06/2017 13:31:50,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,2.0,2900,
219,Software Engineer,PHP,4,2,1000,0,Другой,до 10 человек,Аутсорсинговая,мужской,23,Высшее,False,выше среднего,12/06/2017 13:32:09,"Mozilla/5.0 (Linux; Android 5.1.1; Mi-4c Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,2.0,1000,
220,Technical Lead,SQL,10 и более лет,4,3000,100,Киев,до 200 человек,Продуктовая,мужской,36,Высшее,False,ниже среднего,12/06/2017 13:32:39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,4.0,3000,
222,Junior Software Engineer,Java,1,1,500,150,Львов,до 1000 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,True,средний,12/06/2017 13:33:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,500,
